"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\GEORGIS1\PMU Counters(3)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(3)\Instructions Retired","\\GEORGIS1\PMU Counters(3)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(2)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(2)\Instructions Retired","\\GEORGIS1\PMU Counters(2)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(1)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(1)\Instructions Retired","\\GEORGIS1\PMU Counters(1)\Mispredicted Instructions Retired","\\GEORGIS1\PMU Counters(0)\Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Taken Instructions Retired","\\GEORGIS1\PMU Counters(0)\Instructions Retired","\\GEORGIS1\PMU Counters(0)\Mispredicted Instructions Retired"
"04/23/2018 19:43:30.420","1551461","126828","3113498","157411","2042168","160063","4325157","204872","3520425","147126","6370708","202107","1887939","277208","4129740","338013"
"04/23/2018 19:43:31.420","1895912","204683","4364446","270579","2475817","220650","5491410","294934","5156297","251190","9902805","353369","2733851","335133","6041356","428237"
"04/23/2018 19:43:32.420","1066900","138667","2457102","170614","3701097","184620","7025571","246786","2185669","166917","4685491","220094","1687220","272610","3793269","330954"
"04/23/2018 19:43:33.420","3065328","182800","6455918","256764","6239488","280703","13001909","432857","3961242","188471","8122238","271870","5829110","313353","11262476","430716"
"04/23/2018 19:43:34.420","2149348","137567","5181282","180097","2289384","180585","5036285","235569","1518008","128530","3343545","172192","3664864","263624","6691334","335796"
"04/23/2018 19:43:35.420","2538520","233865","5768397","310968","4860057","290207","10102552","395767","5494320","258874","10631843","374571","3410419","395499","7719992","501110"
"04/23/2018 19:43:36.420","19647279","1313754","46609316","2086928","22042966","1208579","43728851","1991684","18556980","810286","37888661","1319164","22862375","1064966","43824092","1731762"
"04/23/2018 19:43:37.420","842063","101841","1874339","127163","1523171","123579","3172291","156211","1508630","98352","3083844","129446","3439995","228348","6277047","291349"
"04/23/2018 19:43:38.420","1672415","104774","3513150","141196","3107527","127684","5955030","175854","3444072","186805","7453091","249857","3414124","147405","6172605","205674"
"04/23/2018 19:43:39.421","13325342","612747","30195356","983195","17984810","824703","41298438","1307899","18086375","830388","40309122","1306346","14805719","761514","33772752","1185257"
"04/23/2018 19:43:40.421","2764213","89480","4829896","134339","2469484","112682","4910895","160910","879539","74843","1993722","102469","2131285","131570","4737550","186491"
"04/23/2018 19:43:41.421","2253157","75066","3760071","104032","438044","62752","995530","77555","254960","31052","553007","36741","331323","37814","695295","45129"
"04/23/2018 19:43:42.421","2314317","165958","5127760","222196","4724190","260442","9311295","354455","2075528","147982","4493058","202433","2726033","286341","6088269","362298"
"04/23/2018 19:43:43.420","647897","66767","1475775","86924","3068213","129740","5515245","175898","1048934","91177","2332091","114739","952072","116790","2065431","140939"
"04/23/2018 19:43:44.421","1179365","129159","2587712","164512","2381796","221739","5270264","285089","1808322","141206","3936401","183931","4196568","259547","7427854","326355"
"04/23/2018 19:43:45.421","879624","101917","1950328","126291","1979055","119119","3890653","153188","2748216","96433","4655561","132243","1083105","163646","2392697","198908"
"04/23/2018 19:43:46.421","1434034","158870","3110690","197363","2764905","196129","5666524","253120","4105558","195530","7538268","262949","1974409","292512","4517385","356909"
"04/23/2018 19:43:47.421","643010","76950","1414297","98087","2788442","116394","4894354","157171","660001","57892","1392668","72421","824281","127887","1825376","152634"
"04/23/2018 19:43:48.422","1856897","121859","4127130","170243","3296223","148661","6041427","206288","2428418","114700","4811655","158257","2025505","184321","4371219","235485"
"04/23/2018 19:43:49.422","400115","57540","895283","69633","4241516","105458","8154462","154887","1006484","84423","2023097","107916","1048476","124096","2309728","155232"
"04/23/2018 19:43:50.422","844179","66796","1721648","85687","971400","98713","2134575","122502","3101844","93102","5212884","130805","897354","117976","1936678","147960"
"04/23/2018 19:43:51.422","2243189","54158","3586800","77094","3848926","118555","7569152","174813","591414","71268","1304819","90072","1852435","116674","3660872","150977"
"04/23/2018 19:43:52.422","2911647","159980","5525045","203966","1888126","163594","3981171","206054","4395397","148566","7632175","211340","4019910","320510","8463572","416029"
"04/23/2018 19:43:53.422","872671","106342","1945941","135911","1747650","150173","4060223","212625","3711022","120345","6465555","169588","1415343","189356","2981591","244821"
"04/23/2018 19:43:54.422","697045","59630","1529383","76080","1815666","109137","3557848","161305","575967","64542","1207392","83941","3775205","164252","6780375","270077"
"04/23/2018 19:43:55.422","488811","60088","1095141","73496","724377","70497","1596920","87046","2266305","69048","3660652","97120","1502244","103542","2849507","132380"
"04/23/2018 19:43:56.422","3180770","206971","7451903","311956","4467011","278651","10668244","410826","3221945","154886","7262702","213989","7947185","381583","17790949","544496"
"04/23/2018 19:43:57.422","1445153","104261","3408983","150172","3623801","193779","9226993","293035","4349510","151975","9397842","209487","3064433","172994","8819883","233604"
"04/23/2018 19:43:58.422","3364112","172204","6131160","237881","2366285","209377","5289617","276617","2436788","219997","5336851","295194","3516151","312299","7673629","407645"
"04/23/2018 19:43:59.422","821210","110710","1863552","134866","1408278","138280","3178658","174301","3951021","140876","6884452","194297","1400879","209334","3110550","258942"
"04/23/2018 19:44:00.422","674724","75918","1500934","93670","1920001","111236","3757517","144187","1329642","130059","2947281","167715","2760985","138987","4725390","183733"
"04/23/2018 19:44:01.422","1755361","129787","3982484","185571","2742803","135433","6093423","202434","4917852","152319","8822432","223279","2237739","173068","5034547","233524"
"04/23/2018 19:44:02.422","2453331","93804","4113901","126542","1156055","112270","2554420","142007","1169480","102548","2441083","133466","1939239","174079","3855373","219529"
"04/23/2018 19:44:03.422","2242460","166057","4958186","233632","3717138","212097","7814477","308398","3523937","228607","7533221","330118","5346556","274078","10513983","380971"
"04/23/2018 19:44:04.422","1302464","139096","3013717","175644","3158833","219607","7119967","287680","2605724","188971","5841395","255370","3569135","293731","6564764","368727"
"04/23/2018 19:44:05.423","3058906","157143","5579252","207603","2687757","191649","6560290","251349","2744251","210054","6377031","278974","2391144","276534","5976858","348539"
"04/23/2018 19:44:06.423","1574086","160021","3370956","203693","3321284","221937","6910521","287588","4692519","213084","8946467","291422","2037691","332834","4472928","402537"
"04/23/2018 19:44:07.423","1739028","119763","3379532","150274","1951135","151385","4327496","191088","4190547","182585","7685009","250739","1501718","239325","3291334","290705"
"04/23/2018 19:44:08.423","4172116","122082","8625458","182478","9956596","95916","22715354","139249","4614224","145314","8890448","214523","3877566","142583","8956680","202581"
"04/23/2018 19:44:09.423","8219611","85970","18933396","115477","6783068","90553","15774593","118527","14223219","129473","31121399","187129","4066621","136620","9370255","180701"
"04/23/2018 19:44:10.423","14877806","97678","33545628","151603","15526413","108374","33697890","158983","9381636","132674","21241989","178194","7554862","152957","17517145","207917"
